                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                0.67595,                0.36806,                 0.8948,                0.98219,                0.98811,                0.98934,                0.81265,                0.78512,                0.33194,                 0.9236,             0.00017469,             0.00017469,             0.00017469
                    145,                0.67481,                0.36755,                0.89865,                0.98058,                0.99058,                0.98916,                0.81564,                 0.7709,                0.32724,                0.92227,             0.00017178,             0.00017178,             0.00017178
                    146,                0.67415,                0.36003,                0.89582,                0.98261,                0.99301,                0.98927,                0.81453,                 0.7648,                0.32769,                0.92043,             0.00016887,             0.00016887,             0.00016887
                    147,                0.67459,                0.36176,                0.89391,                0.97868,                 0.9825,                0.98945,                0.81864,                0.78479,                0.33286,                0.92659,             0.00016596,             0.00016596,             0.00016596
                    148,                0.67872,                0.36161,                 0.8976,                0.97595,                0.98355,                0.98941,                0.81886,                0.76381,                0.32986,                0.91693,             0.00016305,             0.00016305,             0.00016305
                    149,                0.68276,                0.36454,                0.89928,                0.97489,                0.98473,                0.98867,                0.81468,                0.77313,                0.33052,                0.92309,             0.00016014,             0.00016014,             0.00016014
                    150,                 0.6673,                0.35651,                0.89299,                0.97217,                0.99005,                0.98826,                0.80807,                 0.7888,                0.32437,                0.92468,             0.00015723,             0.00015723,             0.00015723
                    151,                0.66264,                0.35802,                0.89194,                0.98367,                0.97941,                0.98513,                0.80987,                0.76576,                 0.3248,                0.91359,             0.00015432,             0.00015432,             0.00015432
                    152,                0.67309,                0.36157,                0.88855,                0.97689,                 0.9801,                0.98613,                0.80805,                 0.7748,                0.32994,                0.91864,             0.00015141,             0.00015141,             0.00015141
                    153,                0.67957,                0.36381,                0.89986,                0.98112,                0.98999,                 0.9874,                0.81038,                0.77626,                0.32583,                 0.9204,              0.0001485,              0.0001485,              0.0001485
